ts,date,code,cond_index,cond_name,type
2025-12-24T15:30:30,2025-12-24,173940,14,w,I
2025-12-24T15:30:30,2025-12-24,173940,2,w2,I
2025-12-26T09:56:52,2025-12-26,010780,14,w,D
2025-12-30T09:00:05,2025-12-30,090710,14,w,D
2025-12-30T09:00:05,2025-12-30,090710,0,w1,D
2025-12-30T09:00:05,2025-12-30,090710,4,w3,D
2025-12-30T09:00:05,2025-12-30,090710,2,w2,D
2025-12-30T09:00:07,2025-12-30,137080,2,w2,I
2025-12-30T09:00:07,2025-12-30,137080,14,w,I
2025-12-30T09:00:19,2025-12-30,025820,2,w2,D
2025-12-30T09:00:19,2025-12-30,025820,14,w,D
2025-12-30T09:00:22,2025-12-30,317830,2,w2,D
2025-12-30T09:00:22,2025-12-30,317830,14,w,D
2025-12-30T09:00:22,2025-12-30,308170,2,w2,I
2025-12-30T09:00:22,2025-12-30,317830,2,w2,I
2025-12-30T09:00:22,2025-12-30,308170,14,w,I
2025-12-30T09:00:22,2025-12-30,317830,14,w,I
2025-12-30T09:00:24,2025-12-30,317830,2,w2,D
2025-12-30T09:00:24,2025-12-30,317830,14,w,D
2025-12-30T09:00:25,2025-12-30,204320,2,w2,I
2025-12-30T09:00:25,2025-12-30,204320,14,w,I
2025-12-30T09:00:25,2025-12-30,204320,2,w2,D
2025-12-30T09:00:25,2025-12-30,019010,14,w,D
2025-12-30T09:00:25,2025-12-30,204320,14,w,D
2025-12-30T09:00:26,2025-12-30,317830,2,w2,I
2025-12-30T09:00:26,2025-12-30,317830,14,w,I
2025-12-30T09:00:26,2025-12-30,180400,2,w2,I
2025-12-30T09:00:26,2025-12-30,007810,14,w,D
2025-12-30T09:00:26,2025-12-30,180400,14,w,I
2025-12-30T09:00:26,2025-12-30,180400,2,w2,D
2025-12-30T09:00:27,2025-12-30,007810,14,w,I
2025-12-30T09:00:27,2025-12-30,180400,14,w,D
2025-12-30T09:00:27,2025-12-30,317830,2,w2,D
2025-12-30T09:00:27,2025-12-30,317830,14,w,D
2025-12-30T09:00:28,2025-12-30,204320,0,w1,I
2025-12-30T09:00:28,2025-12-30,204320,4,w3,I
2025-12-30T09:00:28,2025-12-30,204320,2,w2,I
2025-12-30T09:00:28,2025-12-30,317830,2,w2,I
2025-12-30T09:00:28,2025-12-30,007810,14,w,D
2025-12-30T09:00:28,2025-12-30,204320,14,w,I
2025-12-30T09:00:28,2025-12-30,317830,14,w,I
2025-12-30T09:00:29,2025-12-30,007810,0,w1,D
2025-12-30T09:00:29,2025-12-30,204320,0,w1,D
2025-12-30T09:00:29,2025-12-30,204320,4,w3,D
2025-12-30T09:00:29,2025-12-30,204320,2,w2,D
2025-12-30T09:00:29,2025-12-30,317830,2,w2,D
2025-12-30T09:00:29,2025-12-30,204320,14,w,D
2025-12-30T09:17:31,2025-12-30,180400,2,w2,D
2025-12-30T09:17:31,2025-12-30,180400,14,w,D
2025-12-30T09:30:09,2025-12-30,357550,14,w,I
2025-12-30T09:30:56,2025-12-30,131970,4,w3,D
2025-12-30T09:30:56,2025-12-30,131970,2,w2,D
2025-12-30T09:30:56,2025-12-30,131970,0,w1,D
2025-12-30T09:30:56,2025-12-30,131970,14,w,D
2025-12-30T09:45:16,2025-12-30,307950,0,w1,I
2025-12-30T09:45:16,2025-12-30,307950,14,w,I
2025-12-30T09:45:18,2025-12-30,307950,0,w1,D
2025-12-30T09:45:18,2025-12-30,307950,14,w,D
2025-12-30T09:45:29,2025-12-30,204320,4,w3,D
2025-12-30T09:45:29,2025-12-30,204320,0,w1,D
2025-12-30T09:45:29,2025-12-30,204320,2,w2,D
2025-12-30T09:45:29,2025-12-30,204320,14,w,D
