event,ts,date,code,name,qty,price,buy_cond_index,buy_cond_name,sell_cond_index,sell_cond_name
BUY,2025-12-24T15:27:27,2025-12-24,143540,영우디에스피,336,891,4,w3,,
BUY,2025-12-24T15:27:27,2025-12-24,009160,SIMPAC,53,5640,2,w2,,
BUY,2025-12-24T15:27:28,2025-12-24,139130,iM금융지주,19,15780,2,w2,,
BUY,2025-12-24T15:30:30,2025-12-24,173940,에프엔씨엔터,70,4230,2,w2,,
BUY,2025-12-24T16:59:06,2025-12-24,143540,영우디에스피,335,893,4,w3,,
BUY,2025-12-24T16:59:07,2025-12-24,173940,에프엔씨엔터,70,4230,2,w2,,
BUY,2025-12-26T09:56:40,2025-12-26,066430,아이로보틱스,151,1974,4,w3,,
BUY,2025-12-26T09:56:41,2025-12-26,071670,에이테크솔루션,33,8880,4,w3,,
BUY,2025-12-26T09:56:41,2025-12-26,124500,아이티센글로벌,8,34950,4,w3,,
BUY,2025-12-26T09:56:41,2025-12-26,143540,영우디에스피,323,928,4,w3,,
BUY,2025-12-26T09:56:42,2025-12-26,200470,에이팩트,42,7090,4,w3,,
BUY,2025-12-26T09:56:42,2025-12-26,030530,원익홀딩스,7,41200,0,w1,,
BUY,2025-12-26T09:56:43,2025-12-26,417970,모델솔루션,9,30350,0,w1,,
BUY,2025-12-26T09:56:43,2025-12-26,000850,화천기공,8,37100,2,w2,,
BUY,2025-12-26T09:56:44,2025-12-26,173940,에프엔씨엔터,70,4245,2,w2,,
BUY,2025-12-26T09:56:44,2025-12-26,317240,TS트릴리온,1023,293,2,w2,,
BUY,2025-12-26T09:56:44,2025-12-26,330350,위더스제약,33,8930,2,w2,,
BUY,2025-12-30T08:56:57,2025-12-30,090710,휴림로봇,37,7980,4,w3,,
BUY,2025-12-30T08:56:57,2025-12-30,007810,코리아써키트,6,43650,0,w1,,
BUY,2025-12-30T08:56:58,2025-12-30,397030,에이프릴바이오,5,55100,0,w1,,
BUY,2025-12-30T08:56:58,2025-12-30,025820,이구산업,49,6090,2,w2,,
BUY,2025-12-30T08:56:59,2025-12-30,038500,삼표시멘트,60,4970,2,w2,,
BUY,2025-12-30T08:56:59,2025-12-30,048770,TPC,91,3285,2,w2,,
BUY,2025-12-30T08:57:00,2025-12-30,058650,세아홀딩스,2,145000,2,w2,,
BUY,2025-12-30T08:57:00,2025-12-30,217730,강스템바이오텍,140,2135,2,w2,,
